Vendor_Name,Service_Description,Price,Rating,Number_of_Ratings,Category,Techno_List,Techno_Main,Techno_Count,Is_Multi_Tech
Monark_Studio,"Je vais créer votre site de conciergerie Airbnb, pensé pour convertir vos visiteurs en clients",490.0,0.0,0,Booking/Reservation,['Unprecised'],Unprecised,1,False
mqtt57,"Je vais créez un site vitrine professionnel, rapide et percutant avec un expert du web",280.0,0.0,0,Website Development,['Unprecised'],Unprecised,1,False
RMS_Tech,Je vais créer votre portfolio professionnel et élégant,30.0,0.0,0,Portfolio/Personal,['Unprecised'],Unprecised,1,False
RMS_Tech,"Je vais créer votre site web professionnel, moderne et sur mesure",100.0,0.0,0,Website Development,['Unprecised'],Unprecised,1,False
lebedel,Je vais créer pour vous un site WordPress professionnel,200.0,0.0,0,Website Development,['WordPress'],WordPress,1,False
Resilient_Byte,Je vais créer site web à petit prix,170.0,0.0,0,Website Development,['Unprecised'],Unprecised,1,False
WilliamKamegni,Je vais créer votre espace de formation sur SIO,80.0,0.0,0,E-learning Platform,['Unprecised'],Unprecised,1,False
GENYZMARKETING,Je vais créer et optimiser votre blog sur Système.io pour booster votre visibilité,50.0,0.0,0,SEO Optimization,['Systeme.io'],Systeme.io,1,False
Brice_BE,Je vais créez votre site web optimisé pour le SEO avec Elementor sur WordPress,250.0,0.0,0,SEO Optimization,"['WordPress', 'Elementor']",Multiple,2,True
DurionConsulting,Je vais créer votre site  web WordPress,100.0,0.0,0,Website Development,['WordPress'],WordPress,1,False
Habeuk,"Je vais créer votre site vitrine professionnel pour hôpitaux, cabinets médicaux et spécialistes de santé",290.0,0.0,0,Website Development,['Unprecised'],Unprecised,1,False
Khouloud97,"Je vais créer votre Site Web, Vitrine, Landing Page sur WordPress",190.0,0.0,0,Landing Page,['WordPress'],WordPress,1,False
Habeuk,"Je vais créer votre site vitrine professionnel pour plombiers, électriciens et techniciens",290.0,0.0,0,Industry-Specific Website,['Unprecised'],Unprecised,1,False
Yoann_Webemize,Je vais migrer votre site Wix sur Wordpress,195.0,0.0,0,Website Development,"['WordPress', 'Wix']",Multiple,2,True
DNC_SERVICES,Je vais créer un site web professionnel adapté à votre activité,200.0,0.0,0,Website Development,['Unprecised'],Unprecised,1,False
ALDEVweb,Je vais créer votre site vitrine Wordpress avec le thème Kadence,150.0,0.0,0,Website Development,['WordPress'],WordPress,1,False
Digitaloa_Paris,"Je vais créer votre site WordPress professionnel, moderne, optimisé SEO et 100% personnalisé",290.0,0.0,0,SEO Optimization,['WordPress'],WordPress,1,False
HugoSalle,Je vais créer votre site Web avec Webflow,250.0,5.0,1,Website Development,['Webflow'],Webflow,1,False
Steevy_Bernhard,Je vais créer votre site Wordpress,450.0,0.0,0,Website Development,['WordPress'],WordPress,1,False
Monark_Studio,"Je vais créer votre site de conciergerie Airbnb, pensé pour convertir vos visiteurs en clients",490.0,0.0,0,Booking/Reservation,['Unprecised'],Unprecised,1,False
GuillaumeMartinet,"Je vais créer TON site WordPress clé en main pour coachs, thérapeutes ou indépendants (Prêt en 72H !)",195.0,0.0,0,Website Development,['WordPress'],WordPress,1,False
